_id,BankAccount,Currency,CurrencyAmount,NumberOfItems,BoughtOrSold,ShopOwner,Buyer,Seller,WorldObjectItem,ItemUsed,Citizen,ActionLocation,Count,Time
"67e9b5e3daf4e101ebe95ff8",1639355,112783,60.0,1.0,18,362211,1639335,362211,"StoreItem","MortaredLimestoneFireplaceItem",1639335,"1418,72,73",3.0,194597
"67e9b61adaf4e101ebe9638d",639092,112783,22.5,15.0,19,464580,464580,639083,"StoreItem","HewnLogItem",639083,"1430,72,522",3.0,197915
"67e9b62cdaf4e101ebe964c6",1134707,112783,18.0,180.0,18,482080,1130926,482080,"StoreItem","SandstoneItem",1130926,"573,69,926",2.0,195705
"67e9b636daf4e101ebe965d3",3304,112783,13.800000191,46.0,18,555551,1664,555551,"StoreItem","CriminiMushroomSporesItem",1664,"866,66,849",2.0,196658
"67e9b679daf4e101ebe96a91",483909,112783,100.0,100.0,19,362211,362211,483900,"StoreItem","MortaredGraniteItem",483900,"1418,72,73",12.0,196683
"67e9b692daf4e101ebe96c4b",1404279,112783,123.0,100.0,18,484905,1404271,484905,"StoreItem","RawMeatItem",1404271,"1406,70,612",1.0,194772
"67e9b6b7daf4e101ebe96fa4",552255,112783,120.0,8.0,18,1615843,552247,1615843,"StoreItem","WoodenHullPlanksItem",552247,"1531,71,647",4.0,196027
"67e9b6ecdaf4e101ebe97495",630595,112783,90.0,100.0,18,356993,630584,356993,"StoreItem","MortaredStoneItem",630584,"1312,66,356",3.0,196151
"67e9b6efdaf4e101ebe974e3",483093,112783,4.0,1.0,18,482191,483085,482191,"StoreItem","FernCampfireSaladItem",483085,"857,72,108",2.0,194866
"67e9b6fcdaf4e101ebe9760d",510855,112783,90.0,45.0,19,484739,484739,510847,"StoreItem","MortaredLimestoneItem",510847,"823,71,824",2.0,195072
"67e9b707daf4e101ebe97768",592604,112783,65.0,100.0,18,464974,592596,464974,"StoreItem","CharredMushroomsItem",592596,"1398,73,576",5.0,197859
"67e9b743daf4e101ebe97be3",3130956,112783,190.0,19.0,19,362215,362215,490484,"StoreItem","WoodenHullPlanksItem",490484,"746,76,1452",9.0,197547
"67e9b743daf4e101ebe97be7",2986183,112783,7.5,10.0,18,495855,2986175,495855,"StoreItem","BeetItem",2986175,"914,69,155",4.0,195007
"67e9b747daf4e101ebe97c31",522429,112783,135.0,135.0,19,542521,542521,522421,"StoreItem","HewnLogItem",522421,"170,68,828",7.0,196500
